STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,STATE,REGION,PRCP,SNOW,SNWD,TMAX,TMIN,TAVG
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-01-24,MONTANA,WEST,0,0,23,23,-10,6.5
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-01-24,MONTANA,WEST,0,0,2,12,-8,2
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-01-24,MONTANA,WEST,0,0,2,55.1,33.9,44.5
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-01-24,MONTANA,WEST,0,0,15,15,-14,0.5
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-01-25,MONTANA,WEST,0,0,4,23,-9,7
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-01-25,MONTANA,WEST,0,0,23,20,-7,6.5
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-01-25,MONTANA,WEST,0,0,2,18,-7,5.5
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-01-25,MONTANA,WEST,0,0,2,55.1,33.9,44.5
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-01-25,MONTANA,WEST,0,0,15,12,-2,5
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-01-26,MONTANA,WEST,0,0,3,42,5,23.5
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-01-26,MONTANA,WEST,0,1,23,18,0,9
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-01-26,MONTANA,WEST,0,0,2,33,-7,13
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-01-26,MONTANA,WEST,0,0,1,55.1,33.9,44.5
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-01-26,MONTANA,WEST,0,1.3,16,18,8,13
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-01-27,MONTANA,WEST,0,0,2,46,27,36.5
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-01-27,MONTANA,WEST,0.3,1,23,32,2,17
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-01-27,MONTANA,WEST,0,0,0,48,30,39
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-01-27,MONTANA,WEST,0,0,0.9,55.1,33.9,44.5
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-01-27,MONTANA,WEST,0.5,1.9,15,39,15,27
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-01-28,MONTANA,WEST,0,0,2,45,-11,17
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-01-28,MONTANA,WEST,0.4,2.4,24,34,12,23
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-01-28,MONTANA,WEST,0,0,0,50,-12,19
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-01-28,MONTANA,WEST,0,0,0.9,55.1,33.9,44.5
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-01-28,MONTANA,WEST,1,15,26,35,-3,16
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-01-29,MONTANA,WEST,0,1,3,-8,-17,-12.5
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-01-29,MONTANA,WEST,0.1,1,24,18,6,12
